,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
35,36,CA-2021-117590,2021-12-08,2021-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.5440000000003,7,0.2,123.4736999999999
36,37,CA-2021-117590,2021-12-08,2021-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96300000000002
44,45,CA-2021-118255,2021-03-11,2021-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714
45,46,CA-2021-118255,2021-03-11,2021-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122.0,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.206199999999999
55,56,CA-2021-111682,2021-06-17,2021-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.139999999999986
56,57,CA-2021-111682,2021-06-17,2021-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.400000000000006,5,0.0,15.552000000000001
57,58,CA-2021-111682,2021-06-17,2021-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098000000000006
58,59,CA-2021-111682,2021-06-17,2021-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888
59,60,CA-2021-111682,2021-06-17,2021-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3000000000000007
60,61,CA-2021-111682,2021-06-17,2021-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.480000000000004,4,0.2,16.362
61,62,CA-2021-111682,2021-06-17,2021-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84
69,70,CA-2021-119823,2021-06-04,2021-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.0,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.663599999999995
75,76,US-2022-118038,2022-12-09,2022-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.2479999999999998,3,0.8,-1.9344000000000006
76,77,US-2022-118038,2022-12-09,2022-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248000000000015
77,78,US-2022-118038,2022-12-09,2022-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.240000000000002,3,0.2,2.724000000000002
79,80,CA-2021-127208,2021-06-12,2021-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.20320000000001
80,81,CA-2021-127208,2021-06-12,2021-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.0,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.740000000000002,3,0.0,8.0352
84,85,US-2022-119662,2022-11-13,2022-11-16,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623.0,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
97,98,CA-2022-157833,2022-06-17,2022-06-20,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122.0,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
119,120,CA-2021-103730,2021-06-12,2021-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.345599999999997
120,121,CA-2021-103730,2021-06-12,2021-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878
121,122,CA-2021-103730,2021-06-12,2021-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.436800000000005
122,123,CA-2021-103730,2021-06-12,2021-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.75899999999999
123,124,CA-2021-103730,2021-06-12,2021-06-15,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805.0,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.731599999999997
130,131,US-2022-164147,2022-02-02,2022-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.96999999999999,5,0.4,-11.993999999999993
131,132,US-2022-164147,2022-02-02,2022-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.363999999999997
132,133,US-2022-164147,2022-02-02,2022-02-05,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.973199999999998
151,152,CA-2021-158834,2021-03-13,2021-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254.0,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.76599999999999
152,153,CA-2021-158834,2021-03-13,2021-03-16,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254.0,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.23879999999999
153,154,CA-2020-124919,2020-05-31,2020-06-02,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123.0,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.379999999999995,7,0.0,26.270999999999994
154,155,CA-2020-124919,2020-05-31,2020-06-02,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123.0,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,105.52,4,0.0,48.539199999999994
155,156,CA-2020-124919,2020-05-31,2020-06-02,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123.0,West,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0.0,21.028799999999997
160,161,CA-2021-162733,2021-05-11,2021-05-12,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045.0,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0.0,2.691
189,190,CA-2020-102281,2020-10-12,2020-10-14,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.1360000000001,4,0.2,112.39199999999991
190,191,CA-2020-102281,2020-10-12,2020-10-14,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0.0,20.092800000000004
191,192,CA-2020-102281,2020-10-12,2020-10-14,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84,8,0.0,24.883200000000002
192,193,CA-2020-102281,2020-10-12,2020-10-14,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.3520000000001,3,0.2,46.97640000000001
193,194,CA-2020-102281,2020-10-12,2020-10-14,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035.0,East,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0.0,6.566999999999998
201,202,CA-2019-133690,2019-08-03,2019-08-05,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219.0,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875
202,203,CA-2019-133690,2019-08-03,2019-08-05,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219.0,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.29249999999999987
219,220,CA-2020-169397,2020-12-24,2020-12-27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017.0,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.5840000000000005,2,0.2,1.8147999999999997
220,221,CA-2020-169397,2020-12-24,2020-12-27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017.0,East,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704000000000004,6,0.2,8.2302
221,222,CA-2020-169397,2020-12-24,2020-12-27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017.0,East,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776000000000003,4,0.7,-13.843199999999996
222,223,CA-2020-169397,2020-12-24,2020-12-27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017.0,East,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.2,19.084800000000005
223,224,CA-2020-169397,2020-12-24,2020-12-27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017.0,East,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.98800000000006,4,0.7,-383.9904
224,225,CA-2020-169397,2020-12-24,2020-12-27,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017.0,East,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168000000000003,2,0.2,2.7168
252,253,CA-2021-146941,2021-12-10,2021-12-13,First Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024.0,East,OFF-ST-10001228,Office Supplies,Storage,"Fellowes Personal Hanging Folder Files, Navy",80.58,6,0.0,22.562400000000004
253,254,CA-2021-146941,2021-12-10,2021-12-13,First Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024.0,East,OFF-EN-10003296,Office Supplies,Envelopes,Tyvek Side-Opening Peel & Seel Expanding Envelopes,361.92,4,0.0,162.864
271,272,CA-2020-155334,2020-07-30,2020-07-31,First Class,HA-14920,Helen Andreada,Consumer,United States,San Francisco,California,94109.0,West,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,209.92999999999998,7,0.0,92.36920000000002
272,273,CA-2020-155334,2020-07-30,2020-07-31,First Class,HA-14920,Helen Andreada,Consumer,United States,San Francisco,California,94109.0,West,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,5.28,3,0.0,2.3232000000000004
273,274,CA-2020-155334,2020-07-30,2020-07-31,First Class,HA-14920,Helen Andreada,Consumer,United States,San Francisco,California,94109.0,West,OFF-BI-10002557,Office Supplies,Binders,Presstex Flexible Ring Binders,10.92,3,0.2,4.094999999999999
